#,Company,Email,Person,Title,City,Notes
,Astral Ltd,lucknow@astralpipes.com,Lucknow Branch,Branch Office,Lucknow,Lucknow; VERIFIED published on astralpipes.com contact page; MX OK
,CEDCOSS Technologies,careers@cedcoss.com,Careers Desk,Recruitment,Lucknow,Lucknow ecommerce/Magento product; VERIFIED printed on cedcoss.com/contact and /careers; MX OK
,CEDCOSS Technologies,info@cedcoss.com,Corporate Office,General,Lucknow,Lucknow ecommerce/Magento product; VERIFIED printed on cedcoss.com/contact; MX OK
,CEDCOSS Technologies,press@cedcoss.com,Press Desk,Media,Lucknow,Lucknow ecommerce/Magento product; VERIFIED printed on cedcoss.com/contact; MX OK
,Softpro India,info@softproindia.in,Corporate Office,General,Lucknow,Lucknow IT services/training; VERIFIED printed on softproindia.in/contact-us; MX OK
,Softpro India,anand.softpro@gmail.com,Anand,Named contact,Lucknow,"Lucknow IT services/training; VERIFIED printed on softproindia.in/contact-us; free-mail address, treat as personal"
,DigiCoders Technologies,info@digicoders.in,Corporate Office,General,Lucknow,Lucknow web/app dev; VERIFIED printed on digicoders.in homepage; MX OK
,Duplex Technologies,sales@duplextech.com,Sales Desk,Sales,Lucknow,Lucknow custom software/ERP; VERIFIED printed on duplextech.com/contact-us and /careers; MX OK
,Mind You Infotech,hr@mindyouinfotech.com,HR Desk,Recruitment,Lucknow,Lucknow app/web dev; VERIFIED printed on mindyouinfotech.com/contact-us; MX OK
,Mind You Infotech,info@mindyouinfotech.com,Corporate Office,General,Lucknow,Lucknow app/web dev; VERIFIED printed on mindyouinfotech.com/contact-us; MX OK
,Sigma IT Software,md@sigmasoftwares.in,Managing Director Desk,Managing Director,Lucknow,Lucknow Vibhuti Khand IT; VERIFIED printed on sigmasoftwares.org/contact-us; note mail domain differs from site domain; 
,Sigma IT Software,support@sigmasoftwares.co.in,Support Desk,Support,Lucknow,Lucknow Vibhuti Khand IT; VERIFIED printed on sigmasoftwares.org/contact-us; note mail domain differs from site domain; 
,Squareit Solution,info@squareit.in,Corporate Office,General,Lucknow,Lucknow digital marketing/web; VERIFIED printed on squareit.in/contact-us; MX OK
,Websofy Software,info@websofy.com,Corporate Office,General,Lucknow,Lucknow web/app dev; VERIFIED printed on websofy.com/contact-us; MX OK
,Skyview Smart Solution,info@skyviewads.com,Corporate Office,General,Lucknow,Lucknow IT/ad-tech; VERIFIED printed on skyviewads.com/contact-us; MX OK
,Eldeco Group,contact@eldecohousing.co.in,Eldeco Housing Desk,General,Lucknow,Lucknow real estate developer; VERIFIED printed on eldecogroup.com/contact-us; MX OK
,Eldeco Group,contact@eldecoproperties.com,Eldeco Properties Desk,General,Lucknow,Lucknow real estate developer; VERIFIED printed on eldecogroup.com/contact-us; MX OK
,Dunitech Soft Solutions,contact@dunitech.com,Contact Desk,General,Lucknow,Lucknow IT services/training; VERIFIED printed on dunitech.com/contact-us; MX OK
,Dunitech Soft Solutions,info@dunitech.com,Corporate Office,General,Lucknow,Lucknow IT services/training; VERIFIED printed on dunitech.com/contact-us; MX OK
,Troology Technologies,info@troology.com,Corporate Office,General,Lucknow,Lucknow software dev; VERIFIED printed on troology.com/contact-us; MX OK
,Troology Technologies,support@troology.com,Support Desk,Support,Lucknow,Lucknow software dev; VERIFIED printed on troology.com/contact-us; MX OK
,STPL IT Solutions,info@stpl.biz,Corporate Office,General,Lucknow,Lucknow IT services; VERIFIED printed on stpl.biz/contact-us; MX OK
,18Pixels,info@18pixels.com,Corporate Office,General,Lucknow,Lucknow app/software dev; VERIFIED printed on 18pixels.com/contact-us; MX OK
,Digicrowd Solution,contact@digicrowdsolution.com,Contact Desk,General,Lucknow,Lucknow digital/web dev; VERIFIED printed on digicrowdsolution.com; MX OK
,ByteScrum Technologies,info@bytescrum.com,Corporate Office,General,Lucknow,Lucknow web/app dev; VERIFIED printed on bytescrum.com; MX OK
,ByteScrum Technologies,support@bytescrum.com,Support Desk,Support,Lucknow,Lucknow web/app dev; VERIFIED printed on bytescrum.com; MX OK
,CodingClave,hr@codingclave.com,HR Desk,Recruitment,Lucknow,Lucknow web/app dev (MERN); VERIFIED printed on trainingatcodingclave.com/contact; MX OK
,CodingClave,hello@codingclave.com,Contact Desk,General,Lucknow,Lucknow web/app dev (MERN); VERIFIED printed on codingclave.com/contact-us; MX OK
,Myntra,kajal.mishra@myntra.com,Kajal Mishra,Marketing Director,Lucknow,Myntra leadership list; Lucknow
